JiajunNo,Aliquot_Vial_Barcode,Bottle_ID,CASRN,Preferred_Name,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,MS_READY_SMILES,MS_File,M-H,M+H,RT,PeakArea,Neg/Pos
1,1502649,B02463081,58244-27-2,tris(Trifluoroethoxy)methane,C7H7F9O3,310.116,310.0251,FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,PFAS_1.raw,309.1082,311.1238,NA,NA,NA
2,1502650,EV0003107,2144-53-8,6:2 Fluorotelomer methacrylate,C12H9F13O2,432.181,432.0395,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_2.raw,431.1732,433.1888,NA,NA,NA
3,1502651,B02462781,28523-86-6,Sevoflurane,C4H3F7O,200.056,200.0072,FCOC(C(F)(F)F)C(F)(F)F,PFAS_3.raw,199.0482,201.0638,NA,NA,NA
4,1502652,B02479826,679-12-9,4H-Perfluorobutanoic acid,C4H2F6O2,196.048,195.9959,OC(=O)C(F)(F)C(F)(F)C(F)F,PFAS_4.raw,195.0402,197.0558,1.35,466000000,neg
5,1502659,B02466445,1652-63-7,Perfluorooctanesulfonamido ammonium iodide,C14H16F17IN2O2S,726.23,725.9706,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_5.raw,725.2222,727.2378,NA,NA,NA
6,1502660,B02466457,2795-39-3,Potassium perfluorooctanesulfonate,C8F17KO3S,538.22,537.8934,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_6.raw,537.2122,539.2278,NA,NA,NA
7,1502661,B02463065,55621-21-1,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",C6H2F8O6,322.063,321.9724,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(O)=O,PFAS_7.raw,321.0552,323.0708,NA,NA,NA
8,1502662,B02462765,375-72-4,Perfluorobutanesulfonyl fluoride,C4F10O2S,302.09,301.9459,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,PFAS_8.raw,301.0822,303.0978,3.41,214000,neg
9,1502663,B02466735,1691-99-2,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,C12H10F17NO3S,571.25,571.011,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_9.raw,570.2422,572.2578,NA,NA,NA
10,1502664,B02479822,329710-76-1,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,C4H4F6O4S,262.12,261.9734,FC(F)(F)OCCOS(=O)(=O)C(F)(F)F,PFAS_10.raw,261.1122,263.1278,NA,NA,NA
11,1502665,B02462777,375-01-9,Heptafluorobutanol,C4H3F7O,200.056,200.0072,OCC(F)(F)C(F)(F)C(F)(F)F,PFAS_11.raw,199.0482,201.0638,NA,NA,NA
12,1502666,194733407,375-22-4,Perfluorobutanoic acid,C4HF7O2,214.039,213.9865,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PFAS_12.raw,213.0312,215.0468,1.79,135000000,neg
13,1502667,B02479829,74427-22-8,"2,2-Difluoroethyl triflate",C3H3F5O3S,214.11,213.9723,FC(F)COS(=O)(=O)C(F)(F)F,PFAS_13.raw,213.1022,215.1178,NA,NA,NA
14,1502668,B02466443,914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid",C8H5F11O2,342.108,342.0114,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_14.raw,341.1002,343.1158,4.31,99800000,neg
15,1502669,B02466740,757124-72-4,4:2 Fluorotelomer sulfonic acid,C6H5F9O3S,328.15,327.9816,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_15.raw,327.1422,329.1578,3.13,1210000000,neg
16,1502670,B02466450,31506-32-8,N-Methylperfluorooctanesulfonamide,C9H4F17NO2S,513.17,512.9691,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_16.raw,512.1622,514.1778,5.35,3840000000,neg
17,1502671,TX003819,375-95-1,Perfluorononanoic acid,C9HF17O2,464.078,463.9705,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_17.raw,463.0702,465.0858,4.28,2480000000,neg
18,1502672,B02463715,15242-17-8,Allyl perfluoroisopropyl ether,C6H5F7O,226.094,226.0229,FC(F)(F)C(F)(OCC=C)C(F)(F)F,PFAS_18.raw,225.0862,227.1018,NA,NA,NA
19,1502673,B02463035,13485-61-5,Nonafluoropentanamide,C5H2F9NO,263.063,262.9993,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_19.raw,262.0552,264.0708,3.72,650000,neg
20,1502674,TX004422,307-24-4,Perfluorohexanoic acid,C6HF11O2,314.054,313.9801,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_20.raw,313.0462,315.0618,3.31,820000000,neg
21,1502675,TX009949,3825-26-1,Ammonium perfluorooctanoate,C8H4F15NO2,431.101,431.0003,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_21.raw,430.0932,432.1088,NA,NA,NA
22,1502676,B02479747,355-95-3,1-Propenylperfluoropropane,C6H5F7,210.095,210.0279,CC=CC(F)(F)C(F)(F)C(F)(F)F,PFAS_22.raw,209.0872,211.1028,NA,NA,NA
23,1502677,B02479777,1763-28-6,"3,3-Bis(trifluoromethyl)-2-propenoic acid",C5H2F6O2,208.059,207.9959,OC(=O)C=C(C(F)(F)F)C(F)(F)F,PFAS_23.raw,207.0512,209.0668,2.5,303000000,neg
24,1502678,B02466328,4151-50-2,N-Ethylperfluorooctanesulfonamide,C10H6F17NO2S,527.2,526.9848,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_24.raw,526.1922,528.2078,5.58,1070000000,neg
25,1502679,B02479754,239795-57-4,2-Vinylperfluorobutane,C6H3F9,246.076,246.0091,C=CC(C(C(F)(F)F)(F)F)(C(F)(F)F)F,PFAS_25.raw,245.0682,247.0838,NA,NA,NA
26,1502680,TX004595,3871-99-6,Potassium perfluorohexanesulfonate,C6F13KO3S,438.2,437.8998,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_26.raw,437.1922,439.2078,NA,NA,NA
27,1502681,B02463305,333-36-8,Flurothyl,C4H4F6O,182.065,182.0166,FC(F)(F)COCC(F)(F)F,PFAS_27.raw,181.0572,183.0728,NA,NA,NA
28,1502682,B02470782,863090-89-5,Perfluoro(4-methoxybutanoic) acid,C5HF9O3,280.046,279.9782,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,PFAS_28.raw,279.0382,281.0538,3.07,466000000,neg
29,1502683,B02463005,406-58-6,"1,1,1,3,3-Pentafluorobutane",C4H5F5,148.076,148.0311,CC(F)(F)CC(F)(F)F,PFAS_29.raw,147.0682,149.0838,NA,NA,NA
30,1502684,B02463041,125070-38-4,"3-(Perfluoro-2-butyl)propane-1,2-diol",C7H7F9O2,294.117,294.0302,C(C(CO)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,PFAS_30.raw,293.1092,295.1248,NA,NA,NA
31,1502685,B02463031,662-50-0,Heptafluorobutyramide,C4H2F7NO,213.055,213.0025,NC(=O)C(F)(F)C(F)(F)C(F)(F)F,PFAS_31.raw,212.0472,214.0628,3.25,412000,neg
32,1502686,B02480220,129301-42-4,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",C6H6F8O4,294.097,294.0138,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,PFAS_32.raw,293.0892,295.1048,3.48,184000000,neg
33,1502687,B02479811,31253-34-6,2-Aminohexafluoropropan-2-ol,C3H3F6NO,183.053,183.0119,NC(O)(C(F)(F)F)C(F)(F)F,PFAS_33.raw,182.0452,184.0608,NA,NA,NA
34,1502688,B02466430,330562-41-9,"Perfluoro-3,6,9-trioxatridecanoic acid",C10HF19O5,562.083,561.9521,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_34.raw,561.0752,563.0908,5.11,184000000,neg
35,1502689,B02462767,376-90-9,Hexafluoroamylene glycol,C5H6F6O2,212.091,212.0272,OCC(F)(F)C(F)(F)C(F)(F)CO,PFAS_35.raw,211.0832,213.0988,NA,NA,NA
36,1502690,B02463067,424-18-0,Methyl perfluorohexanoate,C7H3F11O2,328.081,327.9957,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_36.raw,327.0732,329.0888,NA,NA,NA
37,1502691,B02466442,13252-13-6,Perfluoro-2-methyl-3-oxahexanoic acid,C6HF11O3,330.053,329.975,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,PFAS_37.raw,329.0452,331.0608,NA,NA,NA
